Name,Breed,Sex,Age,County,Urgent Status,Dog Compatibility,Cat Compatibility,Kid Compatibility,Energy,Temperament,Spayed/Neutered,Vaccinated,Description,URL
URGENT AFTER 03/10,Shih Tzu mix,Male,Young Adult,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549361  I am described as a male, cream and gray Shih Tzu mix.  The shelter thinks I am about 4 years old.  I weigh approximately 17.40 lbs.  I have been at the shelter since Mar 03, 2026 and I may be available for adoption on Mar 10, 2026 at 10:09AM.",https://post.rescueme.org/26-03-04-00031
URGENT AFTER 03/10,Pit Bull mix,Female,Unknown,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549363  I am described as a female, blue brindle and white Pit Bull Terrier mix.  My age is unknown.  I weigh approximately 47.60 lbs.  I have been at the shelter since Mar 03, 2026 and I may be available for adoption on Mar 10, 2026 at 10:09AM.",https://post.rescueme.org/26-03-04-00029
URGENT AFTER 03/10,Cairn mix,Male,Young Puppy,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549366  I am described as a male, tan Terrier mix.  The shelter thinks I am about 8 weeks old.  I have been at the shelter since Mar 03, 2026 and I may be available for adoption on Mar 10, 2026 at 11:45AM.",https://post.rescueme.org/26-03-04-00028
Raven,Curly-Coated Retriever / Lab,Female,Puppy,Orange County,Yes,Good,Good,Good,Low,Submissive,Yes,Yes,HI! My Name Is Raven Pet ID: #A756648 Intake Date: 02/20/2026 Gender: Female Age: 11 Months Old Breed: Flat-Coated Retriever Labrador Retriever Mix  If you or someone you know can help please contact the shelter at 562.570.3080 or ,https://post.rescueme.org/26-03-04-00013
Lucy,Siberian Husky,Female,Young Adult,Riverside County,Yes,Good,Unknown,Good,Unknown,Unknown,Yes,Yes,"MEDICAL DEADLINE: LUCY WILL BE KILLED AT 2PM ON 3/4/26. Rescue Placement Only. #A590364 Lucy is a 2-year-old white and black Siberian Husky, listed at just 34 lbs on intake (later recorded at 40 lbs (likely an error). She was found and kept safe for 24 hours by a kind finder who wanted to help, but due to living arrangements, she couldn't keep her any longer. Now Lucy is out of time! Medical Emergency: Her top and bottom eyelids are curling inward more than normal- a painful condition causing irritation. There is discharge from her left eye. She needs medical care and relief, not a death sentence. This condition is treatable, but she needs a rescue to step up. Despite her discomfort, Lucy is described as FRIENDLY and APPROACHABLE. Even while in pain, she is gentle. She trusts. She leans in. She does not understand what is happening to her. She is not aggressive. She is not beyond help. She is simply in need of medical care. And for that, she is scheduled to die. DEADLINE: 2PM ON 3/4/26. There is almost no time. Lucy cannot walk herself out. She cannot ask for help. She only has us. CAN YOU FOSTER? CAN YOU ADOPT THROUGH A RESCUE? ARE YOU A RESCUE WHO CAN SAVE HER? Please share immediately. Tag rescues. Pledge if you can. Visibility saves lives. She deserves treatment. She deserves comfort. She deserves tomorrow. PET CONNECT LINK (for most up-to-date status): https://24Petconnect.com/DetailsMain/SBCT/A590364 PLEASE HELP LUCY. SHARE to show you CARE. Let's not let her story end at 2PM tomorrow. She's at the San Bernardino Shelter- one of the worse kill shelters around.",https://post.rescueme.org/26-03-04-00002
Mei Mei,German Shepherd mix,Female,Puppy,San Bernardino County,No,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"Rescued after being dumped in Hesperia, CA, she was found playing with a mastiff who was out there, and she gets along with other dogs, children, and people of all ages. She is good on leash, loves to play, is under two years of age and above one year... She is super sweet, and loves TLC.",https://post.rescueme.org/26-03-03-00346
Nora,German Shepherd mix,Female,Young Puppy,San Bernardino County,No,Good,Unknown,Good,Average,Average,No,No,"Rescued from the desert near Phelan, CA, this beautiful girl loves TLC, actually hangs out with chickens, rolls over for belly rubs, and is only 4 months old [3/3/26]. Her mother is part of a small pack of dumped dogs in the area, and we're working on getting all of them. She is scheduled for spay and rabies on 3/22, but could be adopted earlier under the proper circumstances. She has met cats and isn't sure what to think - to play or chase... The problem is her hold at her present location stops the first week of April, so if you're looking for a sweet girl and want to save a life, here's your chance.",https://post.rescueme.org/26-03-03-00345
Bluey,Belgian Malinois / Lab,Male,Young Puppy,San Bernardino County,No,Good,Unknown,Good,Average,Average,No,Yes,"Bluey is 8 1/2 weeks old and has two vaccinations as of 3/3/26. He is a wonderful mix, but his mom is a Mal/GSD. He is super sweet, learning basic commands, takes treats nicely, and loves people of all ages. He is in Victorville, CA but can travel in the West. His mom was dumped and left for dead, and we rescued her and then her little ones came shortly after.",https://post.rescueme.org/26-03-03-00343
Violet,Belgian Malinois / Lab,Female,Young Puppy,San Bernardino County,No,Good,Unknown,Good,Average,Average,No,Yes,"Violet is 8 1/2 weeks old and has two vaccinations as of 3/3/26. She is a cute mix, but her mom is a Mal/GSD. Violet has one health issue, and apparently on day 1 of her life one her siblings mistook her female parts for a place to nurse and did her some damage there. It was stitched and fixed, but mom thought she needed to help out, so she had to get fixed up again on day 2.  Since then she has urinated properly and well, but she might need some corrective work done at some point if a problem arises. She is super sweet, learning basic commands, takes treats nicely, and loves people of all ages. She is in Victorville, CA but can travel in the West. Her mom was dumped and left for dead, and we rescued her and then her little ones came shortly after.",https://post.rescueme.org/26-03-03-00342
Ozu,Australian Kelpie mix,Male,Adult,San Bernardino County,No,Unknown,Good,Unknown,Average,Dominant,Yes,Yes,"Ozu is a very loving guard dog that is loyal to his family and always makes sure the house is safe. He enjoys releasing his energy by walking, running around, and playing with his toys. His favorite toys are ones with squeakers and balls, and he loves chewing bones. Ozu would thrive with a younger, active couple that could take him on walks regularly and socialize him more. He is good at dog day care with supervision, but sometimes he struggles at dog parks. He'd do best in a home with a yard.  Ozu is trained to follow basic commands, and is able to get along with dog walkers and trainers. However, he can be on edge around males he hasn't met before. Once he gets to trust them, he becomes very sweet. We're also not sure how he'd do around large crowds. He is neutered, up-to-date on vaccinations and dental care, microchipped, and does not have any food allergies. He is a very sweet boy with a big heart!",https://post.rescueme.org/26-03-03-00341
LANA,Siberian Husky / White Shepherd,Female,Young Adult,Los Angeles County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Lana is our sweet girl between 2 & 3 years old and weighs 55lbs, she's a tall and lean girl. We rescued her when she was pregnant and now that she's had her babies and has been a sweet and loving mom to her puppies, so now she's ready to find her forever home. Lana has amber colored eyes, a beautiful long haired white coat and an amazing poofy tail. She's got a very sweet personality and she loves people and dogs. she's chill and calm making her ideal for every family.  She'll truly melt your and become your best friend. Lana is chipped, vaccinated and spayed, she only needs 1 more thing....YOU! Get your application in ASAP so you can meet Lana and fall in love!",https://post.rescueme.org/26-03-03-00337
SNOW,Siberian Husky mix,Female,Young Adult,Los Angeles County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Meet our pretty 2yr old girl Snow. She's 46lbs but looks smaller than she is. We rescued her when she was pregnant and has been an amazing mom but now it's her turn to find her forever home. She's truly a sweet girl, loves people and dogs and has a kind personality. She has a beautiful coat and adorable chocolate drop eyes and she loves her toys and treats. She would be a fun girl to train too! She's definitely the kind of dog that will steal your heart! She's been chipped, vaccinated and spayed so she's ready and waiting for you! Get your application in ASAP for a chance to meet our pretty girl Snow!",https://post.rescueme.org/26-03-03-00335
Gracie,Yorkie mix,Female,Puppy,Orange County,No,Unknown,Unknown,Good,Average,Submissive,No,Unknown,No out of state adoptions / Northern California out of the question we will not consider it. Local residents to Orange County looking for specifically. NO LA / No LA county --   Must be willing to commute to Orange County for her spay in our area.  No able to use any other vet except ours.    Foster to Adopt only  She is in foster home currently -- good with dogs and kids Gracie is house trained - Potty Trained -- leash trained.   Guardian owner surrender --situation   Anyone interested in her please fill out app   https://airtable.com/appLXQkcSChv5ISsn/shrhPj2DGBbyzEPwS,https://post.rescueme.org/26-03-03-00264
Bruce,Schnauzer mix,Male,Young Adult,Orange County,No,Good,Unknown,Good,Average,Average,Yes,Unknown,No out of state adoptions - Northern California is out of the question as well.  Looking for local residents who wants to adopt him.   Owner surrender situation- no longer able to have him where she moving to her new place.    Dog friendly Yes Cat friendly Yes Kid friendly Yes Leash trained Yes Potty trained Yes Crate trained No House trained Yes Weight 35-45 Age 2yrs Breed Schnauzer Mix Male or female Male Neutered Or Spayed ? Yes Fully vaccinated Yes Is it microchipped : not active Currently located Tustin ca   Bite anyone !!! Never Hours left alone 10 Separation anxiety no How long the owner has dog 1yr How did they get the dog shelter Reason why they giving it up Eviction,https://post.rescueme.org/26-03-03-00252
Deebo,Rottweiler,Male,Young Adult,Riverside County,No,Good,Good,Unknown,High,Dominant,No,Unknown,He's a good boy but has problems marking territory all over everything inside and out and won't stop no matter what you do and can growl at you while grabbing his food bowl because he's territorial over his bowl and and hates to be grabbed by the collar even for help he freaks out he needs good one on one interaction that I'm able to provide,https://post.rescueme.org/26-03-03-00240
Conquer,American Staffordshire Terrier / Shar-Pei,Male,Senior,Los Angeles County,No,Unknown,Good,Good,High,Average,Yes,Yes,"Conquer, the comeback kid, needs a home asap! He is a lovable dog, but also has special needs, so he needs a wonderful person to foster or adopt him. The rescue covers his medical care! Here is what his foster has to say about him: 'Conquer is a 12 year old, 30lb Pitbull/Shar-Pei mix ... Having survived a past of severe neglect, he is now a social, intelligent, and communicative gentleman looking for a home to live the best of the rest of his life. ��%BD%A0When we rescued Conquer in October 2025, he was dangerously underweight and suffering from severe skin irritation. Today, his transformation is nothing short of miraculous. While he has very few teeth left from his journey, he has gained a velvety, soft coat and a 'dinner prance' that will melt your heart. Conquer is a true extrovert! He currently lives with other dogs, but the gang do not always get along. He has been learning tricks like 'Touch,' is working on 'Shake,' and thrives with clicker training and durable puzzle toys. Because of his history of severe allergies and neglect, Conquer has developed some habits that require a little extra management: He thrives on a specific diet, daily Apoquel, and weekly medicated baths (where he'll sweetly rest his head on your leg). To prevent him from obsessively chewing/licking his groin area (a habit from his days of discomfort), Conquer wears male doggie diapers (belly bands) while indoors. He handles his 'outfits' like a pro, and it's a small trade-off for such a wonderful companion. ��%BD%A0Conquer is a loyal, devoted companion who isn't afraid to 'use his words' to tell you how he's feeling. If you have a heart for seniors and a love for a good success story, the 'Comeback Kid' is ready to prance into your forever home. ��%BD%A0Email for more info��%BD%",https://post.rescueme.org/26-03-03-00212
Gremothy,French Bulldog,Male,Young Adult,Orange County,Yes,Good,Good,Good,Low,Submissive,Unknown,Yes,"HI! My Name Is Gremothy Pet ID: #A754920 Intake Date: 01/11/2026 URGENT: Needs Rescue Gender: Male Age: 3 Years Old Breed: French Bulldog Found At: 1900 E Silva St, Long Beach, CA 90807  If you or someone you know can help please contact the shelter at 562.570.3080 or ",https://post.rescueme.org/26-03-03-00207
Cuervo,Belgian Malinois / German Shepherd,Male,Senior,Los Angeles County,No,Good,Unknown,Good,Average,Average,Yes,Yes,"Cuervo is an 11��%BD%A0years old malinois/shepherd mix who is��%BD%A0healthy. He has a puppy like personality��%BD%A0and enjoys playing with toys and going on walks. We rescued Cuervo from the Downey shelter on April 22, 2024. Now, he's ready for his forever home.��%BD%A0��%BD%A0He did well in his behavior assessments and has been waiting a long time!��%BD%A0 We sent him to a 6 week boot camp, so he is obedient, good on the leash, and a pleasure to be with. He would be the perfect companion for an active individual that can take him on daily walks, play fetch and tug of war, and who doesn't mind sharing the bed at night!��%BD%A0",https://post.rescueme.org/26-03-03-00195
Calix,German Shepherd mix,Male,Senior,Los Angeles County,No,Good,Good,Not Good,Average,Average,Yes,Yes,"CALIX WANTS A HOME!��%BD%A0 PLEASE FOSTER OR ADOPT TODAY!!!!��%BD%A0 ��%BD%A0Sweet 10-year young Calix is playful and friendly. He wants to be your snuggle bug in bed and best friend on your adventures and walks.��%BD%A0 Calix, aka Spooky #A2211880 from the north Central shelter deserves a happy ending! Did you follow his story on facebook or instagram? Apparently he was abused and neglected for years by his owners. A neighbor finally turned him into the shelter on July 25, 2025. Of course, he was not claimed by his owners. He was understandably nervous when first at the shelter and no one wanted him, but everyone was rooting for him. Finally, we were able to rescue him. He had a temporary foster for a couple days while his long-term foster was out of town, and then the long-term foster was not able to keep him. ��%BD%A0He loves to play, has great energy and doesn't belong in a home for senior dogs.��%BD%A0 He will do great with other dogs and any attentive adopter/family.��%BD%A0No cats or very young children please.",https://post.rescueme.org/26-03-03-00188
Callahan,German Shepherd mix,Male,Senior,Los Angeles County,No,Good,Unknown,Good,Average,Average,Yes,Yes,"On January 12, 2026, we rescued Rocky,  #A4871718, now Callahan, from the Downey shelter. He is the 400th dog we have rescued since the inception of Golden years Dog Sanctuary in September of 2017!  Rocky. Now, Callahan, was owner surrendered to the Downy shelter on November 25, 2025. He was very friendly with people. According to his owner surrender notes he is good with other dogs and he received a good behavior assessment. We really need someone who can help us foster this dog or someone willing to adopt.",https://post.rescueme.org/26-03-03-00182
Slauson,Doberman Pinscher / Australian Cattle Dog,Male,Puppy,Los Angeles County,No,Unknown,Unknown,Not Good,Average,Dominant,Yes,Yes,"Meet Slauson, an extraordinarily handsome young dog with the kindest eyes and the sweetest soul.  Slauson was saved from euthanasia and hes now ready for a loving home where he can finally feel safe and truly belong.  With his rich chocolate coat and warm tan markings, Slauson is striking but its his gentle, people-oriented nature that truly shines. He loves human connection and forms deep bonds, becoming incredibly loyal once trust is built. Though a bit nervous at first, he warms up quickly with patience and kindness.  Slauson is housetrained, crate-trained, and politely stays off the furniture. He knows basic commands, has great recall, and is completing a training program. Hes smart, eager to learn, and truly enjoys training and working for his food.  This soft-hearted boy will happily follow you from room to room, greet you like the best part of his day, and shower you with quiet devotion. Slauson would thrive in a calm home with a backyard and an adopter who enjoys continuing training. He would do best as an only dog or with a calm canine companion, and a home without young children is preferred.  If youre looking for a loyal, affectionate dog who will choose you every day, Slauson is ready to meet you.  http://instagram.com/adoptslauson/",https://post.rescueme.org/26-03-03-00174
Benjamin (Benji),Shih Tzu,Male,Young Adult,Riverside County,No,Good,Good,Good,Average,Submissive,Yes,Yes,"Benji is an awesome, sweet boy. But because of an upcoming surgery I will not be able to care for him properly. He does have gastrointestinal problems after eating certain dog treats.",https://post.rescueme.org/26-03-03-00165
Roxy,Airedale / Irish Terrier,Female,Puppy,Orange County,No,Good,Unknown,Good,High,Average,Yes,Yes,"Roxy is available for adoption in Orange County!  This little gal joined us from the island of Kauai after spending 2 months sitting in an overcrowded shelter. At just 6 months of age, she weighs 25lbs. We are guessing she's some sort of Airedale/Irish terrier mix, likely with some hound in her.  Roxy is spayed, vaccinated, microchipped, and on flea/tick/HW medication.  This little gal is so sweet and friendly! She has yet to meet a stranger. She loves other dogs (although she's not the biggest fan of having them invade her space when she's eating), and playtime with her foster pup brothers and sisters is one of her favorite things. She rides well in the car, sleeps through the night in her crate, and appears to be housebroken in her foster home.  She is SMART, food motivated, and loves training. She is high energy, so she would do best in an active home that can get her plenty of exercise and continue working with her on her training. Physical and mental stimulation will be important for her!  She's going to be an absolutely incredible dog for a very lucky family. If you think you could be the furever home Roxy is looking for, please fill out an adoption application on our website!",https://post.rescueme.org/26-03-03-00143
Cleo,Belgian Malinois,Female,Young Adult,Los Angeles County,No,Good,Good,Good,High,Submissive,Yes,Yes,Cleo is a 2 1/2 year old Belgian that would love to have a full time job. She loves to run and play and cavity search.,https://post.rescueme.org/26-03-03-00142
Zoe,Shih Tzu / Maltese,Female,Senior,Sacramento County,No,Good,Unknown,Good,Average,Average,Yes,Yes,"**Looking for a loving home for Zoe ��%90%BE**  My mother is entering hospice care, and we are sadly looking for a new home for her beloved **11-year-old Shih Tzu, Zoe**.  Zoe is very sweet and affectionate. She has **glaucoma and chronic dry eye**, which means she needs eye drops and ointment **three times a day**. She is currently **puppy-pad trained**, but she's smart and does signal when she wants to go outside when she stays with me.  Some adorable things about Zoe: �'ۢ She snores loudly for such a tiny dog (we joke she needs a little 'C-Pup') ���� �'ۢ She purrs like a happy pig when she's getting pets �'ۢ She snorts like a tiny truffle pig when hunting for treats ��%90�  She will be losing the person she's been closest to, so she needs **a patient and loving home** where she can be someone's companion again.  Please message me if you might be interested or know someone who could give Zoe a great home. Sharing is appreciated. ����",https://post.rescueme.org/26-03-03-00059
Jewell,Weimaraner,Female,Young Adult,Riverside County,No,Good,Good,Good,Average,Average,Yes,Yes,"Meet the dazzling 3-year-old Jewel, who found herself in a bit of a pickle when her only human sadly left this world. Suddenly, she was on the hunt for a new castle to call home! Her owner's best friend tried to step in, but let's just say the two tiny, grumpy dogs weren't exactly rolling out the welcome mat. Despite her world flipping upside down, Jewel's heart remains wide open-like a 24/7 all-you-can-eat buffet of love!  Jewel is the definition of sweet and affectionate. When she sees you, get ready for the full-body, chunky tail wag that could melt the iciest of hearts! You'll be treated to gentle nudges with her perfect paw, begging for just one more rub, or maybe a sweet angel kiss that'll make you feel like a million bucks.  She's the ultimate cuddle bug who's just as happy lounging around as she is strutting her stuff on a walk or playing like a puppy on a sugar rush. Jewel could totally thrive as your one-and-only fur baby, soaking up all that love, or she'd be equally thrilled with a couple of playful pals to share the spotlight. She's even managing just fine with her senior, grouchy foster brother, who knows just how to keep her in check when her excitement levels go through the roof!  And guess what? There hasn't been a single sign of aggression! The joy in her eyes when she gets attention tells a tale of a pup who hasn't always had the love she deserves.   Jewel is a true gem ready to shine in your family! She even shared her reign with her best cat buddy until she lost him to old age right before she lost her mom. Sure, she'll need a little training to polish up her manners, but she's all ears and eager to please.   So, if you're on the lookout for a joyful, affectionate snuggle buddy with the best wiggle butt in town-look no further! Jewel might just be the one to check off all your boxes! Jewel is happily fostered in the Redondo Beach area. Come meet her and you're sure to fall in love!",https://post.rescueme.org/26-03-03-00015
Ziggy,American Bulldog mix,Male,Young Adult,Riverside County,No,Good,Good,Good,Unknown,Unknown,Yes,Yes,"VIDEO INCLUDED! Everyone, meet Ziggy, our 4 year old American Bulldog mix. Isn't he handsome! Poor boy has been waiting patiently for a foster or a forever family to love him and welcome him home. Ziggy is very loving and affectionate to his family once he bonds with them. Actually,  he gets attached to a family quickly and will be protective of his humans, so it's best that he goes to a home with older children (middle school ages and up). Ziggy gets along well with other dogs after a proper introduction. No cats though. He loves to play! He loves to be near you and be your buddy! He is neutered, fully vaccinated and microchipped. Ziggy really needs this chance! Would you be interested in opening your home and your heart to this boy? Please contact me if you are. Adoption process needs to be 100% approved.",https://post.rescueme.org/26-03-03-00014
Toby Urgent Listed,Shar-Pei,Male,Puppy,Los Angeles County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"Urgent Listed!!!! This stunning, 1 year old pup is in grave danger to being put on the Euthanasia List, if not adopted quickly!!!  Tony needs a hero!!!  TOBY, A2251894 - MALE, TAN AND BLACK CHINESE SHARPEI.  Shelter: NORTH CENTRAL Age: 1 YR, Weight: 64 LBS.  This animal has been at the shelter since 01/12/2026.",https://post.rescueme.org/26-03-03-00013
Stormy,Pit Bull mix,Female,Adult,Riverside County,No,Good,Good,Good,Unknown,Unknown,Yes,Yes,"URGENT FOSTER/ADOPTER NEEDED! Video included. In October, Stormy's world was turned upside down- her family, the only one she's ever known, was moving and could not take her or her Great Dane brother with them. After 6 years of love and loyalty, Stormy suddenly found herself abandoned and confused.  Stormy was with her family since she was just a 10-week-old puppy. She grew up with them, devoted her entire life to loving them, and now she's left behind. However, we have placed Stormy with a temporary foster. One of the videos we're sharing is from when she was a baby, showing her sassy 'talking'- the same sweet personality she still has today. About Stormy: Spayed. Dog Friendly: Has only lived with her Great Dane brother, got along beautifully with him. Cat Friendly: Has been around cats and shows no interest in them. Kid Friendly: Wonderful with kids, she's been around grandkids, friends, and neighbors.  Gentle, mellow, loving, and listens well. People Friendly: Loves everyone she meets, always ready for affection. Loves: Car rides, playing in water, and being sassy with her 'talking.'  Stormy is the sweetest soul- calm, affectionate, and so loyal. Her playful little 'conversations' will melt your heart. She is the kind of dog who just wants to be near her people, soaking up every ounce of love you have to give.  Stormy is looking for a new adoptive home.  Please, don't let her love and loyalty be repaid with heartbreak. Share her story. Open your heart. Be the one who shows her that she is still wanted, still cherished, still worthy. If you can help Stormy, please contact Jennifer with Pumpkin Pawz Rescue at (714) 366-8170 (text is best). Please share everywhere!",https://post.rescueme.org/26-03-03-00012
Wendy,Great Pyrenees / Collie,Female,Puppy,Los Angeles County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Meet Wendy - Sweet, Adorable, and So Ready to Love You!   Wendy is a medium-energy girl who loves her daily walks and is always up for an adventure. On leash, she's very easy to handle. When she spots another dog- even across the street- she's interested and will stop to stare, her tail wagging the whole time. She's a friendly and curious gal!  At home, Wendy is incredibly affectionate and thrives on love and attention. Belly rubs are at the top of her favorite things list! She also loves settling down with a Kong filled with frozen peanut butter. While she does have a little separation anxiety, she sleeps peacefully in her own room for up to 10 hours at night without much fuss.  Wendy is potty trained and listens well when corrected. She's eager to please and responds beautifully to gentle guidance.  She's wonderful with people and is not shy at all - she's been great with kids and happily greets human strangers with her sweet nature. She's also doing great with her 13-year-old foster dog sibling, a mini dachshund, and seems genuinely interested in other dogs.  Wendy is ready to bring warmth, tail wags, and lots of cuddles into her forever home. If you're looking for a loving, loyal companion who will adore you as much as you adore her, Wendy might just be your girl!",https://post.rescueme.org/26-03-03-00011
